,Player,Overall Score,Potential Score,Market Value,Weekly Salary,Height,Weight,Age,Preferred Foot,Ball Skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeping
0,Patrick Flottmann,57,65,140000,1500,191,85,23,Right,38.0,53.666666666666664,44.833333333333336,33.333333333333336,60.714285714285715,30.25,10.2
1,Filip Bilbija,57,73,220000,1500,189,78,20,Right,62.5,25.0,43.333333333333336,52.333333333333336,49.285714285714285,43.125,10.6
2,Blankson Anoff,57,70,190000,1500,173,65,19,Left,57.0,31.666666666666668,41.333333333333336,49.333333333333336,66.0,50.75,9.8
3,Justin Roth,57,75,200000,1500,183,72,19,Right,54.5,54.0,51.333333333333336,55.0,61.57142857142857,41.875,9.8
4,Ömer Uzun,57,72,220000,1600,185,75,20,Left,53.0,19.333333333333332,43.333333333333336,42.333333333333336,52.0,55.75,10.6
5,Anthonys Matos,57,62,120000,2100,181,84,25,Right,33.0,57.333333333333336,40.666666666666664,36.666666666666664,59.285714285714285,30.25,9.8
6,Aboubacar Lô,57,72,210000,1500,183,76,20,Right,33.5,62.0,44.333333333333336,33.0,56.285714285714285,35.875,11.8
7,Mardochee Nzita,57,68,160000,1500,178,70,20,Left,52.5,57.333333333333336,48.833333333333336,47.333333333333336,59.57142857142857,35.375,8.0
8,Bernaldo Manzano,57,57,90000,1500,175,76,30,Right,52.5,53.666666666666664,47.5,53.333333333333336,60.714285714285715,36.25,8.6
9,Oan Djorkaeff,57,66,160000,1500,177,68,23,Right,61.0,39.0,49.666666666666664,59.0,65.14285714285714,50.5,10.0
10,Omar Rodríguez,57,65,120000,1500,185,80,23,Right,8.0,10.333333333333334,24.833333333333332,16.333333333333332,40.714285714285715,13.375,56.8
11,Nicolas Andermatt,57,62,130000,1500,185,74,24,Left,56.0,54.333333333333336,51.166666666666664,54.0,56.57142857142857,39.5,12.2
12,Dhwanil Singhal,57,57,,,177,71,35,Right,52.5,56.333333333333336,54.166666666666664,50.0,65.71428571428571,49.125,10.4
13,Dylan Dugourd,57,64,150000,1500,194,86,24,Left,49.5,18.666666666666668,45.5,31.666666666666668,56.714285714285715,50.375,12.0
14,Josh Eccles,57,74,210000,1500,181,66,20,Right,54.0,54.666666666666664,49.333333333333336,54.0,65.42857142857143,42.0,8.4
15,Ianoș Brînză,57,69,150000,1500,188,88,21,Right,10.0,10.666666666666666,27.666666666666668,19.666666666666668,38.0,14.25,57.0
16,Jean Hugonet,57,72,210000,1500,186,82,20,Right,39.5,57.333333333333336,49.5,40.0,56.857142857142854,33.375,11.6
17,Philipp Bachmeier,57,68,140000,1500,188,78,21,Right,10.0,10.666666666666666,29.833333333333332,15.333333333333334,49.857142857142854,13.0,56.8
18,Calvin Bombo,57,71,210000,1500,183,67,21,Right,55.5,55.333333333333336,49.666666666666664,56.0,63.42857142857143,43.875,10.4
19,Ouparine Djoco,57,67,130000,1500,188,90,22,Left,15.0,11.0,24.166666666666668,17.666666666666668,35.285714285714285,17.375,56.8
20,Uroš Đuranović,57,60,130000,1500,183,80,26,Right,59.5,33.333333333333336,47.5,56.333333333333336,64.14285714285714,49.5,10.2
21,Ryan Bouallak,57,72,190000,1500,190,75,21,Right,11.0,7.0,28.5,21.333333333333332,31.571428571428573,15.75,55.8
22,Raphaël Nya,57,77,210000,4900,182,68,20,Right,57.5,53.333333333333336,51.333333333333336,52.666666666666664,69.28571428571429,42.0,9.6
23,Flemming Niemann,57,66,120000,1500,189,80,24,Right,15.5,12.333333333333334,27.166666666666668,19.666666666666668,45.0,14.75,56.8
