,Player,Market Value (Euros),Predicted Market Value (Euros),Age,Ball Skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeping
0,Bernardo Silva,"64,000,000","108,959,151",26,92.0,49.3,76.7,82.3,78.1,71.4,10.8
1,Virgil van Dijk,"89,999,999","91,585,106",29,73.5,90.7,77.3,71.7,74.9,65.1,11.6
2,Robert Lewandowski,"86,000,000","90,716,122",32,86.5,31.7,78.2,74.3,80.0,86.2,10.2
3,Giorgio Chiellini,"21,999,999","71,752,495",36,60.0,90.7,70.3,61.3,68.3,53.6,3.0
4,Paul Pogba,"57,999,999","63,650,527",27,88.5,65.0,80.2,85.3,77.1,82.0,4.0
5,Nabil Fekir,"47,000,000","57,911,777",27,90.5,35.3,74.0,79.7,80.0,76.6,12.2
6,Coutinho,"40,499,999","57,691,248",28,89.5,52.0,72.2,80.3,76.1,77.4,9.6
7,Clément Lenglet,"51,999,999","57,500,361",25,66.5,85.7,75.5,69.0,73.9,50.2,9.6
8,Marco Reus,"47,499,999","56,049,493",31,86.5,44.0,73.5,82.3,78.0,82.6,12.2
9,Frenkie de Jong,"60,000,000","51,801,823",23,88.5,76.3,81.5,83.7,80.4,65.2,9.8
10,Mats Hummels,"41,000,000","45,866,029",31,75.0,88.0,79.0,77.3,64.1,63.9,8.4
11,Kai Havertz,"48,500,000","45,683,034",21,86.0,41.0,68.3,78.3,76.6,74.6,9.4
12,Lionel Messi,"95,499,999","43,694,353",33,96.5,32.0,77.8,90.7,82.0,86.9,10.8
13,Rúben Dias,"27,499,999","43,269,468",23,59.5,82.7,68.3,59.7,68.9,42.6,9.4
14,Mateo Kovačić,"38,500,000","42,200,835",26,88.5,69.7,78.2,81.7,75.3,67.2,6.8
15,Wissam Ben Yedder,"32,000,000","42,099,073",30,86.0,31.0,72.7,73.3,79.0,78.6,8.4
16,Roman Bürki,"32,000,000","37,789,692",29,17.5,13.3,42.3,25.3,54.3,19.1,82.8
17,Wojciech Szczęsny,"41,000,000","36,916,890",30,16.5,15.0,44.0,26.7,55.0,19.9,83.2
18,Lucas Hernández,"37,500,000","36,144,701",24,72.0,83.7,75.8,73.3,77.0,54.2,9.8
19,Marco Asensio,"29,000,000","35,987,205",24,85.0,40.3,68.5,80.7,72.7,75.4,10.0
20,Alban Lafont,"14,500,000","35,875,802",21,12.0,15.3,36.0,35.0,55.6,16.4,77.4
