,Player,Overall Score,Potential Score,Market Value,Weekly Salary,Height,Weight,Age,Preferred Foot,Ball Skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeping
0,Lionel Messi,94,94,95500000,560000,170,72,33,Left,96.5,32.0,77.83333333333333,90.66666666666667,82.0,86.875,10.8
1,Cristiano Ronaldo,93,93,58500000,400000,187,83,35,Right,90.5,28.0,76.66666666666667,81.33333333333333,85.0,87.5,11.6
2,Neymar Jr,92,92,105500000,290000,175,68,28,Right,95.5,31.333333333333332,75.0,85.0,79.14285714285714,83.75,11.8
3,Virgil van Dijk,91,92,90000000,245000,193,92,29,Right,73.5,90.66666666666667,77.33333333333333,71.66666666666667,74.85714285714286,65.125,11.6
4,Jan Oblak,91,93,77500000,125000,188,87,27,Right,21.0,19.0,47.5,32.0,59.42857142857143,18.5,87.2
5,Kevin De Bruyne,91,91,90000000,370000,181,70,29,Right,89.0,61.0,83.83333333333333,92.33333333333333,76.14285714285714,81.25,11.2
6,Robert Lewandowski,91,91,86000000,300000,184,80,32,Right,86.5,31.666666666666668,78.16666666666667,74.33333333333333,80.0,86.25,10.2
7,Eden Hazard,91,91,90000000,470000,175,74,29,Right,94.5,27.666666666666668,75.33333333333333,84.33333333333333,82.0,80.0,9.0
8,Alisson,90,91,64500000,160000,191,91,27,Right,28.5,16.666666666666668,45.0,35.333333333333336,48.857142857142854,23.75,87.8
9,Mohamed Salah,90,90,80500000,235000,175,71,28,Left,89.5,40.666666666666664,79.16666666666667,79.33333333333333,85.28571428571429,78.125,12.4
10,Sadio Mané,90,90,80500000,235000,175,69,28,Right,90.0,40.666666666666664,77.33333333333333,77.33333333333333,87.28571428571429,77.75,11.2
11,Marc-André ter Stegen,90,93,67500000,250000,187,85,28,Right,25.5,16.0,50.333333333333336,47.333333333333336,51.42857142857143,21.25,87.8
12,Sergio Agüero,90,90,69000000,310000,173,70,32,Right,88.5,27.666666666666668,74.83333333333333,72.33333333333333,81.28571428571429,82.75,11.8
13,Kylian Mbappé,89,95,93500000,150000,178,73,21,Right,89.5,33.333333333333336,74.16666666666667,76.66666666666667,86.42857142857143,77.5,8.4
14,N'Golo Kanté,89,89,59500000,230000,168,70,29,Right,79.5,88.66666666666667,85.16666666666667,78.33333333333333,82.42857142857143,57.625,10.8
15,Harry Kane,89,91,83000000,220000,188,89,27,Right,82.0,43.333333333333336,78.66666666666667,79.66666666666667,75.57142857142857,84.625,10.8
16,Antoine Griezmann,89,89,69000000,370000,176,73,29,Left,89.0,54.0,79.83333333333333,83.33333333333333,82.0,85.25,12.6
17,Toni Kroos,89,89,64000000,340000,183,76,30,Right,84.5,67.66666666666667,79.5,90.66666666666667,59.57142857142857,78.875,10.2
18,Luka Modrić,89,89,39000000,320000,172,66,35,Right,89.5,71.0,81.5,88.33333333333333,77.28571428571429,76.125,10.4
19,Luis Suárez,89,89,53000000,350000,182,86,33,Right,84.5,46.666666666666664,80.16666666666667,79.66666666666667,77.28571428571429,86.125,30.6
20,Manuel Neuer,89,89,36000000,160000,193,92,34,Right,38.0,12.666666666666666,49.5,43.0,57.142857142857146,25.625,87.6
21,Sergio Ramos,89,89,31500000,300000,184,82,34,Right,74.0,87.33333333333333,81.16666666666667,76.33333333333333,78.14285714285714,74.625,9.2
22,Ederson,88,91,54500000,185000,188,86,27,Left,31.5,17.333333333333332,52.0,45.333333333333336,60.0,23.25,87.0
23,Raheem Sterling,88,90,73000000,250000,170,69,25,Right,89.0,49.0,72.16666666666667,77.0,82.28571428571429,70.5,12.6
24,Roberto Firmino,88,88,63000000,220000,181,76,28,Right,90.5,55.333333333333336,80.83333333333333,78.66666666666667,81.0,78.375,8.8
25,Kalidou Koulibaly,88,90,60000000,140000,187,89,29,Right,70.0,88.66666666666667,71.33333333333333,54.666666666666664,69.14285714285714,34.75,8.6
26,Casemiro,88,89,61000000,280000,185,84,28,Right,73.5,86.33333333333333,83.5,75.33333333333333,74.14285714285714,72.375,13.4
27,De Gea,88,88,43500000,195000,192,82,29,Right,28.0,19.666666666666668,49.833333333333336,38.0,55.857142857142854,23.375,84.8
28,Thibaut Courtois,88,89,48000000,230000,199,96,28,Left,18.0,18.0,40.5,27.333333333333332,53.714285714285715,22.25,83.2
29,Sergio Busquets,88,88,49000000,280000,189,76,32,Right,84.5,84.33333333333333,85.16666666666667,78.0,60.714285714285715,61.0,9.6
30,Pierre-Emerick Aubameyang,88,88,57000000,205000,187,80,31,Right,81.0,30.666666666666668,72.66666666666667,72.33333333333333,79.57142857142857,80.625,9.6
31,Karim Benzema,88,88,53000000,340000,185,81,32,Right,88.0,29.666666666666668,75.5,77.66666666666667,76.71428571428571,81.875,8.2
32,Samir Handanovič,88,88,26000000,110000,193,92,36,Right,14.0,16.0,42.0,27.333333333333332,54.142857142857146,19.0,84.0
33,Piqué,88,88,38000000,280000,194,85,33,Right,72.5,87.33333333333333,79.5,73.66666666666667,62.857142857142854,61.25,11.6
34,Giorgio Chiellini,88,88,22000000,205000,187,85,36,Left,60.0,90.66666666666667,70.33333333333333,61.333333333333336,68.28571428571429,53.625,3.0
35,Bernardo Silva,87,90,64000000,210000,173,64,26,Left,92.0,49.333333333333336,76.66666666666667,82.33333333333333,78.14285714285714,71.375,10.8
36,Joshua Kimmich,87,90,58000000,135000,176,73,25,Right,84.0,79.0,83.66666666666667,87.66666666666667,78.85714285714286,68.0,12.0
37,Aymeric Laporte,87,90,56500000,190000,189,85,26,Left,70.0,88.33333333333333,76.16666666666667,73.0,69.0,57.5,9.0
38,Paulo Dybala,87,90,64500000,195000,177,75,26,Left,91.5,40.0,71.66666666666667,81.33333333333333,80.14285714285714,83.0,5.2
39,Heung Min Son,87,87,54000000,165000,183,78,28,Right,87.5,38.333333333333336,74.0,78.0,79.0,79.5,10.6
40,Marco Verratti,87,88,58000000,145000,165,60,27,Right,89.5,81.0,85.66666666666667,84.66666666666667,73.0,62.375,12.8
41,Paul Pogba,87,88,58000000,205000,191,84,27,Right,88.5,65.0,80.16666666666667,85.33333333333333,77.14285714285714,82.0,4.0
42,Keylor Navas,87,87,30500000,110000,185,80,33,Right,17.5,18.666666666666668,47.833333333333336,26.0,59.42857142857143,19.625,83.6
43,Ciro Immobile,87,87,50500000,110000,185,85,30,Right,83.5,33.0,74.83333333333333,62.0,77.28571428571429,78.625,9.4
44,Christian Eriksen,87,87,52500000,125000,181,76,28,Right,84.5,46.0,75.33333333333333,88.33333333333333,72.0,77.875,8.6
45,Parejo,87,87,46500000,75000,182,74,31,Right,83.5,69.66666666666667,78.5,88.66666666666667,60.57142857142857,81.125,9.6
46,Marco Reus,87,87,47500000,140000,180,71,31,Right,86.5,44.0,73.5,82.33333333333333,78.0,82.625,12.2
47,Wojciech Szczęsny,87,88,41000000,145000,195,90,30,Right,16.5,15.0,44.0,26.666666666666668,55.0,19.875,83.2
48,Ángel Di María,87,87,44000000,160000,180,69,32,Left,87.5,49.333333333333336,76.33333333333333,83.33333333333333,78.57142857142857,78.125,10.2
49,Diego Godín,87,87,24000000,110000,187,78,34,Right,63.5,87.66666666666667,72.16666666666667,67.0,67.57142857142857,54.25,9.8
50,Mats Hummels,87,87,41000000,125000,191,94,31,Right,75.0,88.0,79.0,77.33333333333333,64.14285714285714,63.875,8.4
51,Dries Mertens,87,87,40000000,135000,169,61,33,Right,90.0,35.0,72.33333333333333,78.33333333333333,76.14285714285714,74.625,7.8
52,David Silva,87,87,30500000,220000,173,67,34,Left,88.5,46.666666666666664,77.0,86.66666666666667,69.0,73.25,9.2
53,Hugo Lloris,87,87,30500000,125000,188,82,33,Left,22.0,19.0,41.333333333333336,37.666666666666664,56.285714285714285,19.625,82.6
54,Thiago Silva,87,87,18500000,135000,183,79,35,Right,73.5,87.0,77.16666666666667,73.33333333333333,71.42857142857143,62.625,9.0
55,Jadon Sancho,86,94,63500000,70000,180,76,20,Right,91.5,35.0,69.83333333333333,77.66666666666667,78.14285714285714,65.0,10.4
56,Milan Škriniar,86,90,52000000,90000,188,80,25,Right,68.0,87.33333333333333,70.5,60.666666666666664,68.0,45.5,11.0
57,Frenkie de Jong,86,92,60000000,210000,180,74,23,Right,88.5,76.33333333333333,81.5,83.66666666666667,80.42857142857143,65.25,9.8
58,Leroy Sané,86,90,58000000,195000,183,75,24,Left,86.5,34.333333333333336,70.0,75.66666666666667,79.71428571428571,79.875,10.4
59,Clément Lenglet,86,90,52000000,190000,186,81,25,Left,66.5,85.66666666666667,75.5,69.0,73.85714285714286,50.25,9.6
